Year,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1999,169,46,511,113,2662,349,310,50,48,997,283,80,64,825,191,53,89,197,188,67,629,488,460,136,87,276,41,39,227,54,557,266,959,366,12,467,178,210,990,58,147,17,344,1087,205,29,366,555,75,212,20
2000,197,48,522,140,1941,352,320,55,76,1159,364,63,64,868,214,73,103,241,248,61,623,463,561,130,114,303,41,46,273,45,643,271,767,491,14,563,237,208,1147,74,258,20,397,1021,210,36,411,556,113,248,22
2001,216,62,552,126,1226,411,307,64,93,1746,511,77,98,892,283,87,138,345,265,85,639,689,621,185,169,351,56,66,261,79,705,258,1079,551,14,737,269,241,958,110,242,24,424,1374,209,44,459,499,206,269,22
2002,211,84,624,176,2975,448,354,84,61,1927,563,77,117,986,293,91,170,426,365,139,723,705,751,201,183,416,78,66,323,111,813,287,923,647,17,931,240,318,1097,99,217,22,491,1598,288,47,509,643,229,340,34
2003,197,83,674,184,3108,502,307,77,103,2054,607,92,102,847,434,96,188,560,536,133,779,823,761,246,207,522,93,55,342,127,721,358,964,762,22,775,400,355,1381,146,287,24,662,1753,353,65,547,696,262,383,30
2004,283,86,744,230,3125,518,333,63,87,2264,666,103,98,1035,542,122,224,526,539,140,676,669,867,250,224,548,98,59,380,124,590,314,831,854,17,1136,476,365,1544,106,356,43,763,1813,358,50,558,811,333,437,46
2005,283,79,794,269,3214,608,295,62,77,2371,738,126,109,1067,610,141,241,638,661,163,656,780,985,282,248,608,96,86,457,142,823,373,944,1000,12,1243,478,386,1613,156,427,40,872,1910,438,53,581,850,184,518,26
2006,398,76,876,285,3494,627,407,78,101,2591,830,86,130,1369,736,187,257,728,705,159,762,970,1176,311,339,743,97,91,461,149,847,418,1680,1059,14,1515,563,485,1638,175,554,37,975,2191,444,75,629,897,362,593,55
2007,511,72,943,301,3854,734,433,97,61,2794,923,136,126,1192,781,203,270,708,808,159,769,922,1236,341,314,714,125,80,499,186,727,462,1708,1084,32,1592,666,502,1733,135,545,32,985,2194,511,66,700,962,397,622,63
2008,607,127,828,360,3863,749,386,124,56,2963,935,123,146,1353,830,209,219,764,647,162,693,786,1239,384,303,765,134,94,519,126,702,518,1691,1196,46,1733,564,452,1850,185,565,54,938,2053,468,73,718,1011,459,606,74
2009,630,131,1002,351,4056,769,393,136,26,3092,1007,136,171,1381,896,207,304,769,584,173,743,816,1429,419,323,863,142,106,550,168,263,438,1592,1191,27,1236,756,501,1909,161,615,49,962,2409,478,55,685,987,226,631,60
2010,547,83,1098,350,4057,654,363,145,78,3061,1054,151,178,1288,927,253,269,1007,591,135,650,738,1394,397,334,998,118,117,578,160,868,478,1557,1093,23,1835,717,503,1916,167,678,45,1080,2399,433,63,558,916,512,630,85
2011,552,107,1071,355,4180,843,402,160,86,2918,1058,180,193,1408,975,250,280,1058,601,156,707,857,1386,511,302,963,141,129,639,210,1012,529,1948,1264,16,2025,703,532,2289,190,618,57,1090,2589,504,83,798,997,635,698,85
2012,562,129,1134,373,4040,807,439,141,77,2597,1056,155,181,1628,1011,259,318,1078,566,150,831,859,1308,482,310,942,118,146,602,173,1222,492,2106,1298,21,2125,771,490,2365,196,587,42,1131,2447,601,70,733,985,558,692,98
2013,598,105,1222,319,4452,846,582,166,102,2474,1098,158,207,1579,1064,275,331,1019,809,174,892,1081,1553,523,316,1025,137,117,614,203,1294,458,2309,1259,20,2347,790,455,2426,241,620,55,1187,2446,594,93,854,969,570,856,98
2014,723,124,1211,356,4521,899,623,189,96,2634,1206,157,212,1705,1172,264,332,1077,777,216,1070,1289,1762,517,336,1067,125,125,545,334,1253,547,2300,1358,43,2744,777,522,2732,247,701,63,1269,2601,603,83,980,979,627,853,109
2015,736,122,1274,392,4659,869,800,198,125,3228,1302,169,218,1835,1245,309,329,1273,861,269,1285,1724,1980,581,351,1066,138,126,619,422,1454,501,2754,1567,61,3310,725,505,3264,310,761,65,1457,2588,646,99,1039,1094,725,878,96
