Year,State,Deaths
1999,Alabama,169
2000,Alabama,197
2001,Alabama,216
2002,Alabama,211
2003,Alabama,197
2004,Alabama,283
2005,Alabama,283
2006,Alabama,398
2007,Alabama,511
2008,Alabama,607
2009,Alabama,630
2010,Alabama,547
2011,Alabama,552
2012,Alabama,562
2013,Alabama,598
2014,Alabama,723
2015,Alabama,736
1999,Alaska,46
2000,Alaska,48
2001,Alaska,62
2002,Alaska,84
2003,Alaska,83
2004,Alaska,86
2005,Alaska,79
2006,Alaska,76
2007,Alaska,72
2008,Alaska,127
2009,Alaska,131
2010,Alaska,83
2011,Alaska,107
2012,Alaska,129
2013,Alaska,105
2014,Alaska,124
2015,Alaska,122
1999,Arizona,511
2000,Arizona,522
2001,Arizona,552
2002,Arizona,624
2003,Arizona,674
2004,Arizona,744
2005,Arizona,794
2006,Arizona,876
2007,Arizona,943
2008,Arizona,828
2009,Arizona,1002
2010,Arizona,1098
2011,Arizona,1071
2012,Arizona,1134
2013,Arizona,1222
2014,Arizona,1211
2015,Arizona,1274
1999,Arkansas,113
2000,Arkansas,140
2001,Arkansas,126
2002,Arkansas,176
2003,Arkansas,184
2004,Arkansas,230
2005,Arkansas,269
2006,Arkansas,285
2007,Arkansas,301
2008,Arkansas,360
2009,Arkansas,351
2010,Arkansas,350
2011,Arkansas,355
2012,Arkansas,373
2013,Arkansas,319
2014,Arkansas,356
2015,Arkansas,392
1999,California,2662
2000,California,1941
2001,California,1226
2002,California,2975
2003,California,3108
2004,California,3125
2005,California,3214
2006,California,3494
2007,California,3854
2008,California,3863
2009,California,4056
2010,California,4057
2011,California,4180
2012,California,4040
2013,California,4452
2014,California,4521
2015,California,4659
1999,Colorado,349
2000,Colorado,352
2001,Colorado,411
2002,Colorado,448
2003,Colorado,502
2004,Colorado,518
2005,Colorado,608
2006,Colorado,627
2007,Colorado,734
2008,Colorado,749
2009,Colorado,769
2010,Colorado,654
2011,Colorado,843
2012,Colorado,807
2013,Colorado,846
2014,Colorado,899
2015,Colorado,869
1999,Connecticut,310
2000,Connecticut,320
2001,Connecticut,307
2002,Connecticut,354
2003,Connecticut,307
2004,Connecticut,333
2005,Connecticut,295
2006,Connecticut,407
2007,Connecticut,433
2008,Connecticut,386
2009,Connecticut,393
2010,Connecticut,363
2011,Connecticut,402
2012,Connecticut,439
2013,Connecticut,582
2014,Connecticut,623
2015,Connecticut,800
1999,Delaware,50
2000,Delaware,55
2001,Delaware,64
2002,Delaware,84
2003,Delaware,77
2004,Delaware,63
2005,Delaware,62
2006,Delaware,78
2007,Delaware,97
2008,Delaware,124
2009,Delaware,136
2010,Delaware,145
2011,Delaware,160
2012,Delaware,141
2013,Delaware,166
2014,Delaware,189
2015,Delaware,198
1999,District of Columbia,48
2000,District of Columbia,76
2001,District of Columbia,93
2002,District of Columbia,61
2003,District of Columbia,103
2004,District of Columbia,87
2005,District of Columbia,77
2006,District of Columbia,101
2007,District of Columbia,61
2008,District of Columbia,56
2009,District of Columbia,26
2010,District of Columbia,78
2011,District of Columbia,86
2012,District of Columbia,77
2013,District of Columbia,102
2014,District of Columbia,96
2015,District of Columbia,125
1999,Florida,997
2000,Florida,1159
2001,Florida,1746
2002,Florida,1927
2003,Florida,2054
2004,Florida,2264
2005,Florida,2371
2006,Florida,2591
2007,Florida,2794
2008,Florida,2963
2009,Florida,3092
2010,Florida,3061
2011,Florida,2918
2012,Florida,2597
2013,Florida,2474
2014,Florida,2634
2015,Florida,3228
1999,Georgia,283
2000,Georgia,364
2001,Georgia,511
2002,Georgia,563
2003,Georgia,607
2004,Georgia,666
2005,Georgia,738
2006,Georgia,830
2007,Georgia,923
2008,Georgia,935
2009,Georgia,1007
2010,Georgia,1054
