State,White,Black,Hispanic
Oklahoma,580,2625,530
Wisconsin,221,2542,563
Vermont,225,2357,N/A
Iowa,221,2349,361
Idaho,458,2160,619
Arizona,444,2126,842
Oregon,366,2061,395
Montana,316,1981,N/A
Colorado,260,1891,587
Texas,457,1844,541
Pennsylvania,204,1810,668
California,201,1767,385
Louisiana,438,1740,34
Kansas,246,1734,301
Michigan,253,1682,93
Nebraska,201,1680,359
Arkansas,443,1665,251
Missouri,404,1654,232
Ohio,289,1625,334
Florida,448,1621,85
Indiana,339,1616,302
Nevada,387,1592,337
Illinois,174,1533,282
South Dakota,309,1493,480
Utah,202,1481,333
Alabama,425,1417,N/A
Kentucky,431,1411,183
Connecticut,148,1408,583
Virginia,280,1392,116
New Mexico,208,1386,422
Wyoming,375,1307,495
Washington,224,1272,272
Delaware,259,1238,220
West Virginia,348,1234,167
Minnesota,111,1219,287
Tennessee,316,1166,180
New Jersey,94,1140,206
Georgia,329,1066,235
Alaska,278,1053,148
Mississippi,346,1052,207
New Hampshire,202,1040,398
South Carolina,238,1030,172
North Carolina,221,951,221
Rhode Island,112,934,280
New York,112,896,351
North Dakota,170,888,395
Maryland,185,862,N/A
Maine,140,839,104
Massachusetts,81,605,351
Hawaii,246,585,75
